trash,Font,Text,num
159,159.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",© 2022 Bloomberg Finance L.P. All rights reserved.,
160,160.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Follow us:,
161,161.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Share this page:,
162,162.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Apr 8, 2022 | Microsoft Corporate Blogs",
163,163.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Mar 25, 2022 | Julie Brill - Chief Privacy Officer and Corporate Vice President, Global Privacy and Regulatory Affairs at Microsoft",
164,164.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Mar 23, 2022 | Microsoft Corporate Blogs",
165,165.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Mar 11, 2022 | Brad Smith - President & Vice Chair, and Lucas Joppa - Chief Environmental Officer",
166,166.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Mar 4, 2022 | Brad Smith - President and Chief Legal Officer",
167,167.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Mar 3, 2022 | Brad Smith - President & Vice Chair",
168,168.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Feb 10, 2022 | Lucas Joppa - Chief Environmental Officer",
169,169.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Feb 9, 2022 | Brad Smith - President and Chief Legal Officer",
170,170.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Feb 8, 2022 | Microsoft Corporate Blogs",
171,171.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Dec 16, 2021 | Julie Brill, Corporate Vice President, Chief Privacy Officer, and Deputy General Counsel, Microsoft and Ralph Haupter, President Microsoft EMEA",
172,172.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Dec 10, 2021 | Rima Alaily, Corporate Vice President and Deputy General Counsel and Casper Klynge, Vice President of European Government Affairs",
173,173.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Dec 6, 2021 | Julie Brill - Corporate Vice President for Global Privacy and Regulatory Affairs and Chief Privacy Officer",
174,174.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Have the latest posts sent right to your inbox. Enter your email below.,
175,175.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif","By providing your email address, you will receive email updates from the Microsoft EU Policy blog.",
176,176.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Email Address,
177,177.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Subscribe,
178,178.0,"""Segoe UI"", SegoeUI, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Follow us:,
179,179.0,"Poppins, arial, sans-serif",,
180,180.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
181,181.0,"Poppins, Helvetica, Verdana, Arial, sans-serif","The Glad Products Company is committed to making its website accessible for all users, and will continue to take steps necessary to ensure compliance with applicable laws.",
182,182.0,"Poppins, Helvetica, Verdana, Arial, sans-serif","If you have difficulty accessing any content, feature or functionality on our website or on our other electronic platforms, please call us at 1-800-835-4523 so that we can provide you access through an alternative method.",
183,183.0,"Poppins, Helvetica, Verdana, Arial, sans-serif","We use technology, such as cookies, to personalize and enhance your experience. By continuing to use this site, you agree to our use of cookies.",
184,184.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
185,185.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
186,186.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
187,187.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
188,188.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
189,189.0,"Poppins, Helvetica, Verdana, Arial, sans-serif",,
190,190.0,benton-sans,,
191,191.0,benton-sans,,
192,192.0,benton-sans,"In a Q&A, two Alaska Airline executives discuss the technology integration challenges of a corporate acquisition.",
193,193.0,benton-sans,,
194,194.0,benton-sans,,
195,195.0,benton-sans,,
196,196.0,benton-sans,,
197,197.0,benton-sans,Businesses must use data and analytics to better anticipate consumer needs and humanize digital interactions.,
198,198.0,benton-sans,"Technology can help ease nurses’ workloads, but leaders must first gauge its potential effect on their daily work lives.",
199,199.0,benton-sans,"Contextually effective leadership comprises three key elements — map, mindset, and message — that drive desired change.",
200,200.0,benton-sans,"When leaders recognize the perspectives of overlooked populations, it opens up opportunities for innovation and change.",
201,201.0,benton-sans,Awareness of the most common elements of toxic workplace cultures can help employers prevent and address them.,
202,202.0,benton-sans,Employers can better retain workers experiencing long COVID and other chronic illnesses by creating supportive policies.,
203,203.0,benton-sans,"MIT SMR’s spring 2022 issue exemplifies its focus on strategic leadership, digital innovation, and sustainable business.",
204,204.0,benton-sans,"The spring 2022 issue of MIT SMR focuses on how companies use KPIs to measure performance. Plus: What happy, rude, or activist employees bring to the table; strategic thinking for uncertain times.",
205,205.0,benton-sans,"Successful digital initiatives require metrics that track business results, not technology use.",
206,206.0,benton-sans,Streamlined metrics can get people moving in the same direction and improve business performance.,
207,207.0,benton-sans,"Work is no longer a transaction of time and effort exchanged for money. And in fact, the best workplaces were never transactional.",
208,208.0,benton-sans,"Alex Liu, Beth Bovis, and Kim Fulton April 07, 2022",
209,209.0,benton-sans,"To Have Joy in the Workplace, There Must Be Justice for All",
210,210.0,benton-sans,"Get free, timely updates from MIT SMR with new ideas, research, frameworks, and more.",
211,211.0,benton-sans,,
212,212.0,benton-sans,,
213,213.0,benton-sans,Privacy Policy,
214,214.0,"""Helvetica Neue"", Arial, sans-serif",terms,
215,215.0,"""Helvetica Neue"", Arial, sans-serif",,
216,216.0,typeka,"© 2022 alanis morissette

contact | privacy | terms",
217,217.0,"""Helvetica Neue"", Helvetica, sans-serif",,
218,218.0,"""Helvetica Neue"", Helvetica, sans-serif","this site uses cookies. by continuing to browse the site, you are agreeing to our use of cookies. we and our partners operate globally and use cookies for purposes such as analytics, personalization, site functionality and serving ads. to learn more, including how to manage cookies click here.",
219,219.0,"""Helvetica Neue"", Helvetica, sans-serif",,
220,220.0,"""Avenir LT W01 55 Roman"", sans-serif",,
221,221.0,"""Avenir LT W01 55 Roman"", sans-serif",,
222,222.0,"""Avenir LT W01 55 Roman"", sans-serif",,
223,223.0,"""Avenir LT W01 45 Book""","looking for some good, clean fun along with the latest news + deals? get $1 off when you sign up for our emails.",
224,224.0,"""Avenir LT W01 45 Book""","© 2022 method products, pbc. all rights reserved. see our privacy policy and terms and conditions.",
225,225.0,"dassaultaviationsans, sans-serif","Dassault Aviation est un groupe aéronautique français dual qui propose des avions militaires et des avions d’affaires.
Créateur, en un siècle, d’une centaine de prototypes et de plus de 10 000 avions vendus dans 90 pays.",
226,226.0,"dassaultaviationsans, sans-serif",Dassault Aviation figure dans la seconde édition du classement Europe’s Climate Leaders 2022 du Financial Times. Ce classement a identifié les 400 entreprises européennes qui ont réalisé la plus grande réduction de l’intensité des émissions de gaz à effet de serre entre 2015 et 2020. Le classement a été réalisé avec une méthodologie plus stricte ...,
227,227.0,"dassaultaviationsans, sans-serif",,
228,228.0,"Lato, sans-serif",,
229,229.0,"Lato, sans-serif",,
230,230.0,"Lato, sans-serif",À la Une,
231,231.0,"Lato, sans-serif",Les grands rendez-vous du Groupe,
232,232.0,"Lato, sans-serif",,
233,233.0,"Lato, sans-serif",,
234,234.0,"Lato, sans-serif",,
235,235.0,"Lato, sans-serif",,
236,236.0,"Lato, sans-serif",,
237,237.0,"Lato, sans-serif",,
238,238.0,"Lato, sans-serif",,
239,239.0,"Lato, sans-serif",,
240,240.0,"Lato, sans-serif",,
241,241.0,"Lato, sans-serif",,
242,242.0,"Lato, sans-serif",,
243,243.0,"Lato, sans-serif",,
244,244.0,"Lato, sans-serif",,
245,245.0,"Lato, sans-serif",Des solutions pour réussir votre transition énergétique,
246,246.0,"Lato, sans-serif",ENGIE x Île-de-France Smart Services,
247,247.0,"Lato, sans-serif",,
248,248.0,"Lato, sans-serif",,
249,249.0,"Lato, sans-serif",,
250,250.0,"Lato, sans-serif",,
251,251.0,"Lato, sans-serif",,
252,252.0,"Lato, sans-serif",,
253,253.0,"Lato, sans-serif",,
254,254.0,"Lato, sans-serif",Footer menu,
255,255.0,"Lato, sans-serif",sub-footer,
256,256.0,"Lato, sans-serif",Footer social links,
257,0.0,"system-ui, sans-serif","Attackers might be trying to steal your information from www.chg.gov.ie (for example, passwords, messages, or credit cards). Learn more",
258,1.0,"system-ui, sans-serif",,
259,2.0,"system-ui, sans-serif",,
260,3.0,"system-ui, sans-serif",,
261,4.0,"system-ui, sans-serif",,
262,5.0,"system-ui, sans-serif",,
263,6.0,"system-ui, sans-serif",,
264,7.0,"system-ui, sans-serif",,
265,8.0,"system-ui, sans-serif",,
266,9.0,"""EB Garamond"", serif",,
267,10.0,"""EB Garamond"", serif","Around the world, Dr. Jane Goodall’s work renews one of our most powerful resources: hope. »",
268,11.0,"""EB Garamond"", serif","In 1900, an estimated 1 million chimpanzees lived in the wild.",
269,12.0,"""EB Garamond"", serif","Today, there are as few as 340,000.",
270,13.0,"""EB Garamond"", serif","We’re on a mission to save chimpanzees from extinction. Together, we can turn these numbers around.",
271,14.0,"""EB Garamond"", serif",Learn more about all the things we do. »,
272,15.0,"""EB Garamond"", serif",,
273,16.0,"""EB Garamond"", serif",,
274,17.0,"""EB Garamond"", serif","Q: While observing the chimpanzees in Gombe, what type of shoes did Jane wear most often?",
275,18.0,"""EB Garamond"", serif",A: Low-top canvas sneakers (but she mostly went barefoot).,
276,19.0,"""EB Garamond"", serif",,
277,20.0,"""EB Garamond"", serif",Make a difference with us.,
278,21.0,"""EB Garamond"", serif",,
279,22.0,"""EB Garamond"", serif",,
280,23.0,"""EB Garamond"", serif",,
281,24.0,"""EB Garamond"", serif",,
282,25.0,"""EB Garamond"", serif",,
283,26.0,"""EB Garamond"", serif",,
284,27.0,"""EB Garamond"", serif","“Every individual matters. Every individual has a role to play. Every individual makes a difference.”
Dr. Jane Goodall",
285,28.0,"""EB Garamond"", serif",,
286,29.0,"Spartan, sans-serif","Photo credits on this page, top to bottom and left to right: Norman Jean Roy, Rajah Bose/Gonzaga University, JGI/ Anna Mosser, Vanne Morris-Goodall",
287,30.0,"""EB Garamond"", serif",,
288,31.0,"""Larsseit Alt Regular"", Arial, sans-serif",Kills 99.9% of germs on 100s of surfaces*,
289,32.0,"""Larsseit Alt Regular"", Arial, sans-serif",*When used as directed. See product label for list of bacteria and viruses killed on hard surfaces and bacteria killed on soft surfaces.,
290,33.0,"""Larsseit Alt Regular"", Arial, sans-serif",,
291,34.0,"""Larsseit Alt Regular"", Arial, sans-serif",,
292,35.0,"""Larsseit Alt Regular"", Arial, sans-serif",New Clorox® Disinfecting Mist,
293,36.0,"""Larsseit Alt Regular"", Arial, sans-serif",Spring cleaning made breezy,
294,37.0,"""Larsseit Alt Regular"", Arial, sans-serif",Sign up for savings,
295,38.0,"""Larsseit Alt Regular"", Arial, sans-serif",Helpful Tips and Resources,
296,39.0,"""Larsseit Alt Regular"", Arial, sans-serif",Clorox is working with your favorite brands to create a cleaner world where everyone thrives.,
297,40.0,"""Larsseit Alt Regular"", Arial, sans-serif","Get cleaning tips, offers, and product information delivered straight to your inbox. By signing up I am agreeing to the Terms & Conditions and have reviewed the Privacy Policy.",
298,41.0,"""Larsseit Alt Regular"", Arial, sans-serif",,
299,42.0,"""Larsseit Alt Regular"", Arial, sans-serif","Clorox is committed to making its website accessible for all users, and will continue to take steps necessary to ensure compliance with applicable laws.",
300,43.0,"""Larsseit Alt Regular"", Arial, sans-serif","If you have difficulty accessing any content, feature or functionality on our website or on our other electronic platforms, please call us at 1-800-227-1860 so that we can provide you access through an alternative method.",
301,44.0,"""Larsseit Alt Regular"", Arial, sans-serif",,
302,45.0,"""Larsseit Alt Regular"", Arial, sans-serif",,
303,46.0,"Montserrat, sans-serif","Our website uses cookies to deliver faster, and more customized site experiences. The three types of cookies we use are analytics, performance, and advertising. To review our cookie policy, please click here. By closing this banner, or clicking on any part of this page, you agree to the use of cookies.",
304,47.0,"Montserrat, sans-serif",,
305,48.0,"Montserrat, sans-serif",,
306,49.0,"Montserrat, sans-serif",,
307,50.0,"Montserrat, sans-serif",,
308,51.0,"Montserrat, sans-serif",Have an account? Sign In,
309,52.0,"""Londrina Solid"", sans-serif",JOIN NOW AND GET A FREE INDIVIDUAL MEAL WITH $10 PURCHASE.,
310,53.0,"Montserrat, sans-serif",,
311,54.0,"Montserrat, sans-serif","Half a chicken. Full-on flavor. All-natural, never frozen chicken marinated with the perfect blend of garlic, herbs and spices...",
312,55.0,"Montserrat, sans-serif","Small, but mighty tasty. All-natural, never frozen white chicken marinated with the perfect blend of garlic, herbs and spices...",
313,56.0,"Montserrat, sans-serif","The proof is in the poultry – our famous rotisserie chicken is marinated with the perfect blend of garlic, herbs, and spice...",
314,57.0,"Montserrat, sans-serif","Better than a three-piece suit, and tastier too. Served with 2 homestyle sides and fresh-baked cornbread.",
315,58.0,"Montserrat, sans-serif","Who says there’s no place like home? Rich, savory meatloaf made with special seasonings, onions, tomato puree and...",
316,59.0,"Montserrat, sans-serif","It’s no wonder this is a fan favorite – we take our fresh rotisserie chicken, tender veggies, and mix them in a rich, creamy chicken...",
317,60.0,"Montserrat, sans-serif","The proof is in the poultry – our famous rotisserie chicken is marinated with the perfect blend of garlic, herbs, and spice. It’s all-natural, never frozen, and never disappoints. But it’s always tender – and it’s...",
318,61.0,"Montserrat, sans-serif","Baby Back Ribs + Rotisserie Chicken = combo perfection. Get a Whole Chicken, Full order of Baby Back Ribs, 4 large sides and 4 cornbread.",
319,62.0,"""Londrina Solid"", sans-serif","CATERING HOTLINE:
303-317-6900",
320,63.0,"BrandonGrotesque, sans-serif",,
321,64.0,"BrandonGrotesque, sans-serif","When Easter approaches, two major culinary traditions appear in every grocery store in Finland: Mignon chocolate eggs and the mysterious “mämmi.”",
322,65.0,"BrandonGrotesque, sans-serif","Artisanal chocolatiers have been emerging across Finland in recent years, offering seriously tasty competition to the big brands. Small shops can also stand out by focusing on vegan chocolate, gluten-free options, sustainability, local ingredients or supply-chain ethics.",
